date,strike,option_type,expiry,close,implied_volatility,underlying_close,open_interest,volume
2025-12-04,24900.0,CE,2026-02-24,1597.35,11.695587284879862,26033.75,0,0
2025-12-04,24900.0,PE,2026-02-24,99.05,11.562225571762461,26033.75,52130,241
2025-12-04,24950.0,CE,2026-02-24,1560.0,11.849286300470604,26033.75,0,0
2025-12-04,24950.0,PE,2026-02-24,249.25,15.974502041021218,26033.75,0,0
2025-12-04,25000.0,CE,2026-02-24,1563.65,13.285442279488333,26033.75,5265,18
2025-12-04,25000.0,PE,2026-02-24,112.9,11.512331534273233,26033.75,369525,2131
2025-12-04,25050.0,CE,2026-02-24,1521.8,13.207240549076394,26033.75,65,0
2025-12-04,25050.0,PE,2026-02-24,275.2,16.022463354411645,26033.75,0,0
2025-12-04,25100.0,CE,2026-02-24,1488.3,13.362497725247858,26033.75,65,1
2025-12-04,25100.0,PE,2026-02-24,120.45,11.204472266384899,26033.75,103805,433
2025-12-04,25150.0,CE,2026-02-24,1414.65,12.341328130072961,26033.75,0,0
2025-12-04,25150.0,PE,2026-02-24,300.85,16.01645828395057,26033.75,0,0
2025-12-04,25200.0,CE,2026-02-24,1379.55,12.446052249304536,26033.75,0,0
2025-12-04,25200.0,PE,2026-02-24,134.25,11.068725340189891,26033.75,139685,529
2025-12-04,25250.0,CE,2026-02-24,1344.9,12.543425860905566,26033.75,0,0
2025-12-04,25250.0,PE,2026-02-24,329.6,16.04535784517328,26033.75,0,0
2025-12-04,25300.0,CE,2026-02-24,1322.8,12.957835856280544,26033.75,65,1
2025-12-04,25300.0,PE,2026-02-24,150.45,10.960389343419044,26033.75,106340,377
2025-12-04,25350.0,CE,2026-02-24,1281.35,12.83340149301078,26033.75,65,1
2025-12-04,25350.0,PE,2026-02-24,360.2,16.07470723340715,26033.75,0,0
2025-12-04,25400.0,CE,2026-02-24,1242.6,12.769914745172223,26033.75,65,1
2025-12-04,25400.0,PE,2026-02-24,166.85,10.81023716159304,26033.75,83005,510
2025-12-04,25450.0,CE,2026-02-24,1202.05,12.650614169043351,26033.75,65,1
2025-12-04,25450.0,PE,2026-02-24,392.8,16.107153507228755,26033.75,0,0
2025-12-04,25500.0,CE,2026-02-24,1168.95,12.7060251914138,26033.75,9815,45
2025-12-04,25500.0,PE,2026-02-24,189.6,10.782949114548572,26033.75,196300,1033
2025-12-04,25550.0,CE,2026-02-24,1105.6,12.011128622974988,26033.75,65,0
2025-12-04,25550.0,PE,2026-02-24,427.3,16.13950641508025,26033.75,0,0
2025-12-04,25600.0,CE,2026-02-24,1238.7,15.898469685414195,26033.75,65,0
2025-12-04,25600.0,PE,2026-02-24,213.4,10.724351490786018,26033.75,16965,16
2025-12-04,25650.0,CE,2026-02-24,1182.35,15.347570036611371,26033.75,195,0
2025-12-04,25650.0,PE,2026-02-24,218.9,10.517368420899196,26033.75,260,2
2025-12-04,25700.0,CE,2026-02-24,1157.35,15.490791536337353,26033.75,65,0
2025-12-04,25700.0,PE,2026-02-24,234.0,10.533939834545006,26033.75,15730,43
2025-12-04,25750.0,CE,2026-02-24,1126.45,15.490994099625633,26033.75,65,0
2025-12-04,25750.0,PE,2026-02-24,254.25,10.654788125727606,26033.75,1430,7
2025-12-04,25800.0,CE,2026-02-24,947.2,12.222604081510221,26033.75,975,5
2025-12-04,25800.0,PE,2026-02-24,256.35,10.337760747802308,26033.75,15600,100
2025-12-04,25850.0,CE,2026-02-24,890.55,11.66885327144087,26033.75,130,0
2025-12-04,25850.0,PE,2026-02-24,272.05,10.324199642742643,26033.75,390,12
2025-12-04,25900.0,CE,2026-02-24,884.8,12.226655789966458,26033.75,780,11
2025-12-04,25900.0,PE,2026-02-24,286.95,10.27745493414834,26033.75,17160,133
2025-12-04,25950.0,CE,2026-02-24,829.05,11.679587564911866,26033.75,130,2
2025-12-04,25950.0,PE,2026-02-24,314.0,10.482453451956761,26033.75,2795,6
2025-12-04,26000.0,CE,2026-02-24,816.4,12.049742383775243,26033.75,107835,672
2025-12-04,26000.0,PE,2026-02-24,321.0,10.233031847050679,26033.75,109200,1345
2025-12-04,26050.0,CE,2026-02-24,783.0,11.960668162942245,26033.75,1105,9
2025-12-04,26050.0,PE,2026-02-24,345.65,10.350636283364866,26033.75,780,3
2025-12-04,26100.0,CE,2026-02-24,750.7,11.88261474688178,26033.75,3770,31
2025-12-04,26100.0,PE,2026-02-24,351.6,10.055425132054067,26033.75,15600,132
